,store,item,year,month,day_of_week,week_of_year,quarter,is_weekend,lag_7,lag_30,rolling_mean_7,rolling_mean_30
1,0.0,0.22927843480052248,0.899044608548254,2.3153114755600286,5.124081953240838,1.6778610870307298,0.0,0.0,0.7438282181139796,0.6011038169869454,8.205722188312105,12.461495269267935
2,0.0,0.19914730764131214,0.3962419983671313,2.9121975880670483,6.772969246458691,2.2570457106600523,0.0,0.0,4.8621429744809825,0.757261846681751,8.62719991496684,15.650474993809127
3,0.0,0.2208639456658346,0.3329691421274057,2.589465049721852,6.263435872658361,2.067207539742034,0.0,0.0,1.3745589630993638,0.56032255020521,10.086606432141847,14.854846922022459
4,0.0,0.31277519940696186,0.9668628338725473,2.5023565126716036,5.6733262136293225,1.4644119381175869,0.0,0.0,1.2359471329380431,0.47125643530236166,8.982318530803761,14.495084900597677
5,0.0,0.24385554693960937,0.3236204935269356,1.9015235018100518,4.314850750014422,1.3679080191578616,0.0,0.0,0.569940613549584,0.45906266808957874,5.105033000337675,11.649471258778535
6,0.0,0.19289303588836543,0.4307343001344757,1.9413464661613506,4.297153685282725,1.353940587433502,0.0,0.0,0.40898177151725645,0.4291435408911386,4.874980059787121,12.523458952175831
7,0.0,0.17430403614996698,0.6342434601740154,1.7483863728216302,3.9422910719166637,1.4199074898346686,0.0,0.0,0.401354527053166,0.3777046961989963,4.923019291438265,10.925027448077635
8,0.0,0.23546865078229756,0.7508667083618842,2.8762582967694406,6.4103744224181884,1.8982310427393232,0.0,0.0,4.928969248485877,0.7129893904021266,8.189259895653185,15.406276097602543
9,0.0,0.24947452950751597,0.42242075769666915,2.400920089636257,5.768564120115795,1.7057176852060134,0.0,0.0,1.9729391297187575,0.6773736420150419,7.7657757215709635,14.16205792742834
10,0.0,0.2806962914213443,0.5576223324870865,2.652047504425764,6.004934841020968,1.8393376093596774,0.0,0.0,3.1485217862123958,0.7893369154189277,8.243313792532028,14.167601961849087
