,store,item,year,month,day_of_week,week_of_year,quarter,is_weekend,lag_7,lag_30,rolling_mean_7,rolling_mean_30
1,0.0,0.12352745115731563,0.15775353297129796,2.1270721580923646,4.750327891744673,1.6514390010285194,0.0,0.0,0.427746663946112,0.6003185633820161,6.251689392977576,10.443262938987717
2,0.0,0.12435485755511667,0.17618956507199937,2.671733918678083,6.361266219855597,2.0472577234723772,0.0,0.0,3.7534145409511623,0.7677531482530997,7.696287984790464,12.49740821902551
3,0.0,0.11823130666474989,0.13811885302881013,2.3639495957490855,5.801081500167768,2.110257495262908,0.0,0.0,1.4734041185840117,0.24831090980134723,7.75316249650366,12.672971024097992
4,0.0,0.11107776102180658,0.12664626369094295,2.1195311312998757,5.364650019012674,1.604034213515816,0.0,0.0,0.7958796672493977,0.39900944378077347,7.694305450545008,11.101725538292351
5,0.0,0.14280103455799986,0.10518224980076217,1.7288238035460681,3.9380117735480886,1.3457450910901125,0.0,0.0,0.3138815306523655,0.3021704407546647,5.205258587773782,9.144494738107461
6,0.0,0.12925554129332015,0.12810872722649597,1.69455842688951,3.908883928873908,1.4779451381842181,0.0,0.0,0.3367910035599689,0.3503390609573232,4.10450014978864,9.94381990980881
7,0.0,0.12251771177073503,0.10736798863523184,1.5220732006653617,3.7120608565159086,1.369371750458074,0.0,0.0,0.4700836782564803,0.2549898874482379,4.2651860506160455,8.951460755413217
8,0.0,0.1240189835951332,0.14466568909429053,2.5565685703154317,6.049648331045545,1.9473416372587444,0.0,0.0,3.480917404551982,0.5514552985596038,8.381284721287802,11.427460919153273
9,0.0,0.14055077506464103,0.18964884327005127,2.2355569448484793,5.282028868777974,1.818679584314413,0.0,0.0,1.3958220747235064,0.5256764580510949,6.900411877425827,11.261292453031983
10,0.0,0.12527242161917723,0.14232595143874996,2.2855180873503445,5.760444196830731,1.897051326970113,0.0,0.0,1.2221872571764805,0.53598413684413,8.021379043664203,11.77170833810186
